risk_id,risk_name,description,ai_model_type,probability_level,impact_level,impact_dimensions,trigger_conditions,technological_dependencies,known_mitigations,regulatory_requirements,operational_priority,source_reference,provenance,related_risks,categories,energy_context,version,status
EG-R-0001,Training Data Poisoning,"Adversaries inject malicious samples into training pipelines for forecasting models, leading to skewed predictions and unreliable dispatch guidance.",deep_learning;forecasting,3,5,reliability;safety,Compromised data supply chain for model retraining,Data labeling platforms;ETL pipelines,Data validation;supplier vetting,EU-AI-Act-TitleIV;NERC-CIP-013,5,AIID:INC-1023;MIT_AIRISK:data-integrity;MITRE_ATLAS:AML.T0020,"{""action"": ""merged"", ""sources"": [""MITRE_ATLAS:AML.T0020""]};{""aiid"": ""INC-1023"", ""date"": ""2024-03-01"", ""editor"": ""ICCS"", ""mit_airisk"": ""data-integrity""};{""action"": ""altai-sourced"", ""altai_requirements"": [""accountability"", ""robustness""], ""note"": ""altai_requirements column""};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-7.3""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-acquisition""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-post-deployment"", ""mit-ai-risk-subdomain-1.1""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-bias""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-7.3""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-contamination""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-7.3""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-curation""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-intentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-2.2""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-poisoning""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-other"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-6.5""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-provenance""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-7.3""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-transfer""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-6.5""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-transparency""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-7.3""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-usage""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-ai"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-post-deployment"", ""mit-ai-risk-subdomain-7.4""], ""sources"": [""IBM_RISK_ATLAS:atlas-inaccessible-training-data""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-other"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-7.3""], ""nist_controls"": [""nist-value-chain-and-component-integration""], ""sources"": [""IBM_RISK_ATLAS:atlas-unrepresentative-data""]};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.696379""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.792436""}",EG-R-0003;EG-R-0014;EG-R-0015,technical.attack,transmission_control,1.0,draft
EG-R-0002,Adversarial Evasion on Protective Relays,"Adversarial perturbations targeting sensor inputs cause misclassification of fault conditions, bypassing automated trip logic.",control;deep_learning,2,5,reliability;safety,Malicious waveform injection at substation PMUs,edge accelerators;Real-time monitoring,Adversarial training;signal authentication,IEC-61850;NERC-PRC-005,5,AIID:INC-0875;MITRE_ATLAS:AML.T0043,"{""action"": ""merged"", ""sources"": [""MITRE_ATLAS:AML.T0043""]};{""aiid"": ""INC-0875"", ""date"": ""2024-03-01"", ""editor"": ""ICCS""};{""action"": ""altai-sourced"", ""altai_requirements"": [""robustness"", ""transparency""], ""note"": ""altai_requirements column""};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-intentional"", ""mit-ai-causal-risk-timing-post-deployment"", ""mit-ai-risk-subdomain-2.2""], ""sources"": [""IBM_RISK_ATLAS:atlas-evasion-attack""]};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.712085""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.829707""}",EG-R-0017;EG-R-0031,technical.attack,transmission_control,1.0,draft
EG-R-0003,Model Backdoor Activation,Hidden triggers inserted during model training activate malicious behaviors when specific patterns appear in telemetry.,deep_learning,2,5,safety;security,Tampered pretrained weights delivered through vendor updates,MLOps pipelines;Model registries,adversarial scanning;Weight provenance checks,DOE-CIP-Guidance;NIST-800-53,4,AIID:INC-1042;MITRE_ATLAS:AML.T0043.004,"{""action"": ""merged"", ""sources"": [""MITRE_ATLAS:AML.T0043.004""]};{""aiid"": ""INC-1042"", ""date"": ""2024-03-02"", ""editor"": ""ICCS""};{""action"": ""altai-sourced"", ""altai_requirements"": [""accountability"", ""robustness""], ""note"": ""altai_requirements column""};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.722466""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.856702""}",EG-R-0001,technical.attack,distribution_operations,1.0,draft
EG-R-0004,Model Inversion Privacy Leak,"Attackers reconstruct sensitive training data from forecasting models, exposing customer usage profiles.",forecasting,3,4,privacy;reputation,Overexposed inference API with unrestricted queries,Cloud inference endpoints;usage databases,Differential privacy;query throttling,EU-GDPR;US-CCPA,4,AIID:INC-0661;MITRE_ATLAS:AML.T0024.001,"{""action"": ""merged"", ""sources"": [""MITRE_ATLAS:AML.T0024.001""]};{""aiid"": ""INC-0661"", ""date"": ""2024-03-02"", ""editor"": ""ICCS""};{""action"": ""altai-sourced"", ""altai_requirements"": [""privacy"", ""transparency""], ""note"": ""altai_requirements column""};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.731003""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.877201""}",EG-R-0005;EG-R-0022;EG-R-0025;EG-R-0029,privacy.governance,retail_energy,1.0,draft
EG-R-0005,Membership Inference on DER Forecasts,Malicious actors infer which distributed energy resources contributed to a model by analyzing prediction outputs.,forecasting;optimization,3,4,privacy;reliability,Bulk query of public API combined with auxiliary datasets,analytics stacks;Cloud orchestration,access control;Differential privacy,DOE-Data-Privacy-Order;EU-GDPR,3,AIID:INC-0543;MITRE_ATLAS:AML.T0024.000,"{""action"": ""merged"", ""sources"": [""MITRE_ATLAS:AML.T0024.000""]};{""aiid"": ""INC-0543"", ""date"": ""2024-03-03"", ""editor"": ""ICCS""};{""action"": ""altai-sourced"", ""altai_requirements"": [""fairness"", ""privacy""], ""note"": ""altai_requirements column""};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-intentional"", ""mit-ai-causal-risk-timing-post-deployment"", ""mit-ai-risk-subdomain-2.2""], ""sources"": [""IBM_RISK_ATLAS:atlas-membership-inference-attack""]};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.737531""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.898844""}",EG-R-0004;EG-R-0006,privacy.governance,distributed_generation,1.0,draft
EG-R-0006,Model Extraction Theft,"Attackers replicate proprietary dispatch optimization models by adaptive querying, eroding competitive advantage.",optimization,2,3,financial;reputation,High-volume query campaigns with synthetic load profiles,API gateways;optimization engines,Rate limiting;watermarking,EU-AI-Act-Art53;US-TRADE-SECRETS-ACT,3,AIID:INC-0332;MITRE_ATLAS:AML.T0024.002,"{""action"": ""merged"", ""sources"": [""MITRE_ATLAS:AML.T0024.002""]};{""aiid"": ""INC-0332"", ""date"": ""2024-03-04"", ""editor"": ""ICCS""};{""action"": ""altai-sourced"", ""altai_requirements"": [""accountability"", ""robustness""], ""note"": ""altai_requirements column""};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-intentional"", ""mit-ai-causal-risk-timing-post-deployment"", ""mit-ai-risk-subdomain-2.2""], ""sources"": [""IBM_RISK_ATLAS:atlas-extraction-attack""]};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.744339""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.919917""}",EG-R-0005;EG-R-0016;EG-R-0026,governance.legal,market_operations,1.0,draft
EG-R-0007,Operational Automation Bias,"Operators over-trust AI dispatch recommendations despite conflicting sensor evidence, leading to delayed corrective actions.",expert_systems;forecasting,4,4,operational;safety,Absence of counterfactual explanations during high load events,recommendation engines;Visualization dashboards,alerting standards;Human-in-the-loop drills,EU-AI-Act-TitleIII;NERC-EOP-005,4,AIID:INC-0214;MIT_AIRISK:automation-bias,"{""action"": ""merged"", ""sources"": [""MIT_AIRISK:automation-bias""]};{""aiid"": ""INC-0214"", ""date"": ""2024-03-05"", ""editor"": ""FORA""};{""action"": ""altai-sourced"", ""altai_requirements"": [""agency"", ""transparency""], ""note"": ""altai_requirements column""};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-post-deployment"", ""mit-ai-risk-subdomain-1.1""], ""sources"": [""IBM_RISK_ATLAS:atlas-data-bias""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-ai"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-1.1""], ""sources"": [""IBM_RISK_ATLAS:atlas-decision-bias""]};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-ai"", ""mit-ai-causal-risk-intent-unintentional"", ""mit-ai-causal-risk-timing-post-deployment"", ""mit-ai-risk-subdomain-1.1""], ""sources"": [""IBM_RISK_ATLAS:atlas-output-bias""]};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.753430""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.940075""}",EG-R-0008;EG-R-0012,governance.oversight,control_rooms,1.0,draft
EG-R-0008,Inadequate Human Oversight,No clear escalation path for overriding AI control decisions causing cascading failures during voltage excursions.,control;reinforcement_learning,3,5,compliance;safety,Lack of override authority during autonomous control operations,policy engines;Supervisory control systems,Defined override roles;periodic manual drills,EU-AI-Act-Art14;NERC-PER-005,5,AIID:INC-0654;MIT_AIRISK:human-oversight,"{""action"": ""merged"", ""sources"": [""MIT_AIRISK:human-oversight""]};{""aiid"": ""INC-0654"", ""date"": ""2024-03-05"", ""editor"": ""FORA""};{""action"": ""altai-sourced"", ""altai_requirements"": [""accountability"", ""agency""], ""note"": ""altai_requirements column""};{""action"": ""mapped"", ""nexus_matches"": [""mit-ai-causal-risk-entity-human"", ""mit-ai-causal-risk-intent-other"", ""mit-ai-causal-risk-timing-pre-deployment"", ""mit-ai-risk-subdomain-6.2""], ""sources"": [""IBM_RISK_ATLAS:atlas-human-exploitation""]};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.759835""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.963407""}",EG-R-0007;EG-R-0009;EG-R-0013,governance.oversight,control_rooms,1.0,draft
EG-R-0009,Goal Mis-specification,"AI optimizer minimizes cost at expense of reserve margins, compromising reliability under peak stress.",optimization;reinforcement_learning,3,5,reliability;safety,Poorly defined reward function lacking safety penalties,market data feeds;Optimization solvers,multi-objective KPIs;Reward shaping,EU-AI-Act-Art9;FERC-Order-2222,5,AIID:INC-0720;MIT_AIRISK:goal-misspecification,"{""action"": ""merged"", ""sources"": [""MIT_AIRISK:goal-misspecification""]};{""aiid"": ""INC-0720"", ""date"": ""2024-03-06"", ""editor"": ""FORA""};{""action"": ""altai-sourced"", ""altai_requirements"": [""accountability"", ""societal""], ""note"": ""altai_requirements column""};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.767435""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:23.984367""}",EG-R-0008;EG-R-0010;EG-R-0033;EG-R-0035,governance.oversight,market_operations,1.0,draft
EG-R-0010,Insufficient Monitoring and Drift,Model degradation under new weather regimes causes inaccurate load forecasts and scheduling mismatches.,forecasting,4,4,financial;reliability,Lack of post-deployment monitoring for data drift,MLOps observability;telemetry warehouses,Continuous monitoring;shadow deployments,EU-AI-Act-Art15;NERC-MOD-033,4,AIID:INC-0488;MIT_AIRISK:monitoring-drift,"{""action"": ""merged"", ""sources"": [""MIT_AIRISK:monitoring-drift""]};{""aiid"": ""INC-0488"", ""date"": ""2024-03-06"", ""editor"": ""FORA""};{""action"": ""altai-sourced"", ""altai_requirements"": [""accountability"", ""robustness""], ""note"": ""altai_requirements column""};{""action"": ""create"", ""editor"": ""ICCS"", ""timestamp"": ""2026-08-17T10:25:49.773783""};{""action"": ""replace"", ""editor"": ""ICCS"", ""timestamp"": ""2026-09-17T13:11:24.004628""}",EG-R-0009;EG-R-0018;EG-R-0024;EG-R-0027;EG-R-0037,governance.monitoring,transmission_planning,1.0,draft
